iter	Passed	Remaining
0	2	1324
1	5	1371
2	8	1328
3	10	1305
4	12	1234
5	14	1173
6	16	1146
7	18	1114
8	19	1082
9	21	1066
10	23	1051
11	25	1031
12	27	1030
13	29	1015
14	31	1003
15	32	997
16	34	990
17	36	983
18	38	981
19	40	972
20	42	963
21	44	959
22	46	956
23	47	951
24	49	943
25	51	941
26	54	946
27	56	946
28	58	945
29	59	939
30	61	937
31	63	932
32	65	926
33	67	921
34	69	921
35	71	919
36	73	918
37	75	917
38	77	913
39	79	909
40	81	907
41	82	903
42	84	898
43	86	897
44	88	893
45	90	889
46	92	888
47	93	884
48	95	880
49	97	879
50	99	876
51	101	873
52	103	870
53	105	869
54	107	866
55	108	862
56	110	860
57	112	858
58	114	856
59	116	853
60	118	849
61	119	847
62	122	846
63	123	843
64	125	839
65	127	839
66	129	838
67	131	835
68	133	835
69	135	832
70	137	828
71	139	827
72	141	824
73	142	823
74	145	822
75	146	819
76	148	817
77	150	816
78	152	812
79	154	809
80	156	807
81	158	808
82	160	805
83	162	804
84	164	801
85	165	798
86	167	795
87	169	793
88	171	789
89	173	788
90	175	786
91	177	784
92	178	783
93	181	782
94	183	780
95	185	778
96	187	777
97	189	775
98	191	774
99	193	773
100	195	770
101	196	767
102	198	765
103	200	762
104	202	759
